"Endpoint ID","auto~Time_Angle#values.value","auto~Time_Button#values.value","auto~Time_CableWrap#values.value","auto~Time_Fader#values.value","auto~Time_ProbeGoal#values.value","auto~accX#values.value","auto~accY#values.value","auto~accZ#values.value","auto~angleValue#values.value","auto~cumForce#values.value","auto~faderValue#values.value","auto~gyroX#values.value","auto~gyroY#values.value","auto~gyroZ#values.value","auto~probeGoalState#values.value","auto~probeStartState#values.value","auto~pushButtonState#values.value","auto~resetButtonState#values.value","auto~startButtonState#values.value","auto~stopButtonState#values.value","auto~trialCounter#values.value","auto~trialPoints#values.value","auto~trialStarted#values.value","auto~trialTime#values.value","Date"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-5.37109375","-0.48828125","1070.3125","4074","5.110351563","1","11.65771484","0.122070313","-0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:07"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-5.37109375","-3.90625","1086.181641","4075","5.245361328","1","10.37597656","-0.061035156","-0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:07"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-4.39453125","11.47460938","1070.800781","4076","5.368896484","0","10.92529297","0.122070313","0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:07"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-10.7421875","-5.37109375","1064.208984","4076","5.519287109","0","10.07080078","0.061035156","-0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:07"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-11.96289063","-3.173828125","1056.152344","4076","5.770996094","0","11.65771484","0","0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:07"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-7.32421875","11.71875","1086.669922","4074","5.963378906","1","10.19287109","0.122070313","-0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-8.056640625","15.625","1088.867188","4075","6.033203125","1","11.53564453","-0.061035156","-0.48828125","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","2.197265625","13.18359375","1076.660156","4073","6.209228516","0","10.7421875","-0.244140625","0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-11.96289063","7.8125","1086.181641","4074","6.37890625","0","10.31494141","-0.427246094","-0.48828125","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-4.8828125","11.71875","1066.894531","4075","6.449951172","0","11.41357422","-0.244140625","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-23.68164063","-3.41796875","1097.65625","4078","6.635986328","1","11.96289063","-0.244140625","0","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-10.98632813","3.662109375","1097.412109","4074","6.764892578","0","9.338378906","0.793457031","-0.671386719","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-13.91601563","8.056640625","1090.820313","4078","6.874511719","0","11.29150391","-0.305175781","-0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:09"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-9.521484375","-10.98632813","1073.974609","4075","7.021972656","0","10.37597656","0.9765625","-0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:09"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-5.37109375","13.42773438","1058.59375","4077","7.100585938","0","11.10839844","-0.305175781","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:09"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-11.23046875","6.8359375","1080.322266","4077","7.369628906","1","11.41357422","0.061035156","-0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:09"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","0","18.79882813","1069.580078","4073","7.62109375","1","10.92529297","-0.305175781","-0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:09"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-17.08984375","11.71875","1059.570313","4075","7.808349609","0","9.338378906","0.244140625","0","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:09"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-3.662109375","11.71875","1075.439453","4078","7.998779297","1","10.07080078","-0.48828125","-0.183105469","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:09"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-7.32421875","5.126953125","1072.021484","4076","8.076171875","1","10.55908203","0.244140625","-0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:10"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-10.00976563","15.13671875","1066.40625","4075","8.288085938","0","10.37597656","-0.122070313","-0.48828125","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:10"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","3.662109375","8.30078125","1072.753906","4076","8.447753906","0","11.29150391","-0.305175781","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:10"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-1.708984375","17.578125","1061.279297","4075","8.530761719","0","11.29150391","-0.366210938","-0.48828125","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:10"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-9.521484375","-2.685546875","1067.871094","4076","8.753173828","0","7.995605469","0.427246094","-0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:10"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-2.685546875","0.9765625","1077.636719","4076","8.931884766","0","8.483886719","0.732421875","-0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:11"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-5.126953125","-8.30078125","1069.580078","4074","8.996337891","0","9.338378906","0.305175781","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:11"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-4.638671875","-0.9765625","1100.097656","4076","9.190673828","0","8.666992188","0","-0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:11"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-10.00976563","9.033203125","1078.369141","4073","9.434326172","1","8.972167969","-0.122070313","-0.183105469","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:11"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","19.28710938","20.26367188","1088.867188","4076","9.6328125","0","10.00976563","-0.244140625","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:11"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","5.615234375","22.70507813","1073.486328","4075","9.7890625","0","8.728027344","0.305175781","-0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:11"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","2.44140625","12.93945313","1097.412109","4078","9.727294922","0","9.582519531","-0.244140625","-0.183105469","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:11"
